State,HCAHPS Question,HCAHPS Measure ID,HCAHPS Answer Description,HCAHPS Answer Percent,Footnote,Measure Start Date,Measure End Date
AK,"Patients who reported that their room and bathroom were ""Always"" clean",H_CLEAN_HSP_A_P,"Room was ""always"" clean",72%,20 - State and national averages do not include VHA hospital data.,04/01/2016,03/31/2017
AK,"Patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean",H_CLEAN_HSP_SN_P,"Room was ""sometimes"" or ""never"" clean",8%,20 - State and national averages do not include VHA hospital data.,04/01/2016,03/31/2017
AK,"Patients who reported that their room and bathroom were ""Usually"" clean",H_CLEAN_HSP_U_P,"Room was ""usually"" clean",20%,20 - State and national averages do not include VHA hospital data.,04/01/2016,03/31/2017
AK,"Patients who reported that their nurses ""Always"" communicated well",H_COMP_1_A_P,"Nurses ""always"" communicated well",75%,20 - State and national averages do not include VHA hospital data.,04/01/2016,03/31/2017
AK,"Patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well",H_COMP_1_SN_P,"Nurses ""sometimes"" or ""never"" communicated well",4%,20 - State and national averages do not include VHA hospital data.,04/01/2016,03/31/2017
AK,"Patients who reported that their nurses ""Usually"" communicated well",H_COMP_1_U_P,"Nurses ""usually"" communicated well",21%,20 - State and national averages do not include VHA hospital data.,04/01/2016,03/31/2017
AK,"Patients who reported that their doctors ""Always"" communicated well",H_COMP_2_A_P,"Doctors ""always"" communicated well",80%,20 - State and national averages do not include VHA hospital data.,04/01/2016,03/31/2017
AK,"Patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well",H_COMP_2_SN_P,"Doctors ""sometimes"" or ""never"" communicated well",5%,20 - State and national averages do not include VHA hospital data.,04/01/2016,03/31/2017
AK,"Patients who reported that their doctors ""Usually"" communicated well",H_COMP_2_U_P,"Doctors ""usually"" communicated well",15%,20 - State and national averages do not include VHA hospital data.,04/01/2016,03/31/2017
AK,"Patients who reported that they ""Always"" received help as soon as they wanted",H_COMP_3_A_P,"Patients ""always"" received help as soon as they wanted",73%,20 - State and national averages do not include VHA hospital data.,04/01/2016,03/31/2017
AK,"Patients who reported that they ""Sometimes"" or ""Never"" received help as soon as they wanted",H_COMP_3_SN_P,"Patients ""sometimes"" or ""never"" received help as soon as they wanted",6%,20 - State and national averages do not include VHA hospital data.,04/01/2016,03/31/2017
AK,"Patients who reported that they ""Usually"" received help as soon as they wanted",H_COMP_3_U_P,"Patients ""usually"" received help as soon as they wanted",21%,20 - State and national averages do not include VHA hospital data.,04/01/2016,03/31/2017
AK,"Patients who reported that their pain was ""Always"" well controlled",H_COMP_4_A_P,"Pain was ""always"" well controlled",69%,20 - State and national averages do not include VHA hospital data.,04/01/2016,03/31/2017
AK,"Patients who reported that their pain was ""Sometimes"" or ""Never"" well controlled",H_COMP_4_SN_P,"Pain was ""sometimes"" or ""never"" well controlled",7%,20 - State and national averages do not include VHA hospital data.,04/01/2016,03/31/2017
AK,"Patients who reported that their pain was ""Usually"" well controlled",H_COMP_4_U_P,"Pain was ""usually"" well controlled",24%,20 - State and national averages do not include VHA hospital data.,04/01/2016,03/31/2017
AK,"Patients who reported that staff ""Always"" explained about medicines before giving it to them",H_COMP_5_A_P,"Staff ""always"" explained",65%,20 - State and national averages do not include VHA hospital data.,04/01/2016,03/31/2017
AK,"Patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them",H_COMP_5_SN_P,"Staff ""sometimes"" or ""never"" explained",14%,20 - State and national averages do not include VHA hospital data.,04/01/2016,03/31/2017
AK,"Patients who reported that staff ""Usually"" explained about medicines before giving it to them",H_COMP_5_U_P,"Staff ""usually"" explained",21%,20 - State and national averages do not include VHA hospital data.,04/01/2016,03/31/2017
AK,"Patients who reported that NO, they were not given information about what to do during their recovery at home",H_COMP_6_N_P,"No, staff ""did not"" give patients this information",13%,20 - State and national averages do not include VHA hospital data.,04/01/2016,03/31/2017
AK,"Patients who reported that YES, they were given information about what to do during their recovery at home",H_COMP_6_Y_P,"Yes, staff ""did"" give patients this information",87%,20 - State and national averages do not include VHA hospital data.,04/01/2016,03/31/2017
AK,Patients who “Agree” they understood their care when they left the hospital,H_COMP_7_A,Patients who “Agree” they understood their care when they left the hospital,45%,20 - State and national averages do not include VHA hospital data.,04/01/2016,03/31/2017
AK,Patients who “Disagree” or “Strongly Disagree” they understood their care when they left the hospital,H_COMP_7_D_SD,Patients who “Disagree” or “Strongly Disagree” they understood their care when they left the hospital,5%,20 - State and national averages do not include VHA hospital data.,04/01/2016,03/31/2017
AK,"Patients who ""Strongly Agree"" they understood their care when they left the hospital",H_COMP_7_SA,Patients who “Strongly Agree” they understood their care when they left the hospital,50%,20 - State and national averages do not include VHA hospital data.,04/01/2016,03/31/2017
